"HGNC","logFC","logCPM","F","PValue","FDR"
"DCUN1D3",-1.06250781465541,4.65821184227737,5.26855219672842,0.0240766871325744,0.0639198846240853
"DCUN1D4",-0.812296299920086,5.1003517441137,4.12064786106818,0.0465622665335127,0.105138807603371
"DCUN1D5",-0.999704350068952,5.01095432023302,8.35369827166245,0.00517619169611306,0.0199019503759526
"DCX",-2.47435507442496,4.32965797372484,23.2056213168449,7.82043629947742e-06,0.000119939794848578
"DCXR",-0.525789482017523,4.68293878855842,1.86492805094213,0.175594538359292,0.277784350776149
"DDA1",-1.57100951772489,4.93396243945189,17.0464815771639,9.62436816021311e-05,0.000876745152522546
"DDAH1",-0.630881225413275,5.54826800173205,2.14242255351584,0.149235253638352,0.246664718058712
"DDAH2",-0.833333812064599,5.07029412491569,4.62612343838512,0.0352378870934341,0.0853954052286715
"DDB1",-0.327812698023068,6.86301374906797,0.792599352053369,0.37791493295083,0.490742098861894
"DDB2",-0.274441593130574,4.85873671276398,0.389829385161976,0.534281730665576,0.632587561159164
"DDHD1",-0.801770449603833,5.22784424674806,3.7547334255673,0.0574322156754863,0.122841579270821
"DDHD2",-0.70840870709451,5.36191750193807,2.84853789729517,0.0970372517272177,0.179982499769286
"DDI2",-0.44459974631359,6.32722176106273,1.19130563752115,0.280629792690033,0.393699204477101
"DDIT3",-0.032456277494439,4.66609005605952,0.00686596258415098,0.934151727851914,0.953638184606538
"DDIT4",-0.0940819615682812,6.193252615768,0.0463193848166658,0.830517686803045,0.874710158785043
"DDIT4L",-0.462351637957754,4.38817158832618,0.40580093169057,0.525671788586606,0.625577145432176
"DDO",-0.97302957805933,4.47852662264047,3.46110114834678,0.0658758866381427,0.135423485283033
"DDOST",-0.402445551208529,5.61748535050754,0.902327528671694,0.346589067617931,0.459828029524333
"DDR1",-0.145111560622086,7.1821855114006,0.0777538577035824,0.78160636445442,0.835651261544099
"DDR2",-1.89689410445126,4.83868026422116,13.5433663081175,0.000422919987650874,0.00281123691135163
"DDRGK1",-0.922344324778285,4.83271995721267,7.05582261494647,0.00960674904213662,0.0319211731520962
"DDT",-0.763830410098063,4.44976230180453,2.73242615438403,0.101582731598618,0.186305578592083
"DDTL",-1.01809719561366,4.61774069618668,6.0957400471232,0.0154168899311339,0.0457305236442932
"DDX1",-0.246661853838283,5.60621483779547,0.314169572758146,0.577550171341742,0.669609268652137
"DDX10",-0.757758254346623,4.83526231694655,3.61610573271054,0.0609879257823485,0.127931670645121
